#{"t_start": 1774783934.0679562, "env_id": "None"}
r,l,t
-4.601448,10,26.811836
4.333048,12,26.827113
2.59711,10,26.836215
-3.690613,12,26.85789
2.951565,11,26.87125
3.860983,11,26.884279
-4.695105,11,26.898901
0.992012,10,26.907913
0.199253,13,26.931215
2.748559,10,26.937732
-3.73971,13,26.95783
-0.000652,14,26.969099
2.378937,9,26.985684
2.295934,10,26.985684
-4.175054,10,27.007863
-4.123593,10,27.007863
1.498305,14,27.01896
3.313628,10,27.035862
4.869567,12,27.057927
5.024736,12,27.069239
-5.476494,10,27.087734
-4.185635,10,27.104947
4.432284,14,27.119094
-4.363467,10,27.119094
-1.440252,11,27.13579
1.78901,11,27.15312
3.852844,11,27.166788
3.959849,10,27.170024
-3.188879,12,27.185752
-4.17687,10,27.206033
10.545226,12,27.225265
-4.696603,10,27.23842
-4.675404,10,27.249789
2.302354,10,27.262829
9.888438,11,27.278846
0.574373,12,27.29437
1.41399,12,27.313044
3.30224,10,27.330043
1.754618,10,27.346234
3.367801,10,27.359285
4.881228,12,27.374285
-6.039661,13,27.388295
4.430122,12,27.40795
3.294238,10,27.416956
2.525174,10,27.429851
2.320978,12,27.443151
2.406308,9,27.451403
0.890519,11,27.46744
9.778209,11,27.481112
10.462584,12,27.493121
3.298007,11,27.505645
0.53082,11,27.516261
0.348868,11,27.528259
-4.290494,10,27.539269
2.090464,10,27.549273
9.283515,11,27.56153
1.865248,11,27.573543
-3.253483,12,27.587542
-4.501864,10,27.601346
3.026444,10,27.613408
-6.251796,11,27.621411
-6.128369,11,27.621411
-6.035376,12,27.635982
4.00455,10,27.652957
3.599893,12,27.6684
7.891836,12,27.669128
2.663608,10,27.685871
0.591297,12,27.685871
2.887651,13,27.707779
1.743959,12,27.719007
-4.736449,11,27.719007
-5.999623,10,27.735679
-5.728293,10,27.753508
3.922348,10,27.758137
0.69066,11,27.769058
2.210824,12,27.792124
-4.097669,11,27.803284
4.003177,10,27.819259
9.798356,11,27.837801
7.858646,12,27.856515
-4.755543,11,27.876055
1.431463,12,27.885817
2.310947,11,27.903356
9.867764,11,27.908018
-3.150999,12,27.919068
3.108691,13,27.935917
3.522654,11,27.952895
-9.422492,14,27.95763
1.786116,13,29.069269
0.618189,11,29.087223
2.037502,10,29.097278
1.954252,12,29.111905
3.821709,10,29.122083
2.023034,12,29.132124
3.853652,12,29.147834
-5.164289,11,29.16275
2.091874,10,29.173739
9.286191,11,29.187183
8.088467,12,29.199204
2.983703,11,29.213943
4.900155,12,29.230606
3.864674,10,29.242397
-4.253754,11,29.252912
3.623139,12,29.257712
4.827014,12,29.269386
9.283559,11,29.299769
1.658452,8,29.316723
9.303661,11,29.3285
-18.510719,34,29.353146
-5.190996,13,29.357794
3.331708,10,29.369755
-5.21975,9,29.384969
9.780256,11,29.384969
2.882467,13,29.403243
0.910506,10,29.407733
4.626015,12,29.426523
6.616254,14,29.432495
-3.999339,11,29.448214
1.371036,11,29.460798
3.847481,10,29.473674
2.804199,10,29.483672
3.849816,10,29.485179
2.572274,11,29.507946
1.287097,10,29.516938
1.00235,9,29.516938
2.588316,11,29.532081
4.961664,14,29.553027
-4.072584,10,29.557898
3.454538,11,29.582884
1.733223,11,29.595756
3.34245,11,29.609798
3.95693,10,29.622789
5.217619,14,29.643796
3.92629,11,29.658839
1.144706,10,29.671621
2.207165,10,29.681618
4.059981,11,29.693633
3.767079,10,29.706161
4.416462,12,29.71658
4.870067,12,29.72958
0.713225,11,29.741594
-4.31307,10,29.754112
9.281259,11,29.766287
2.083251,12,29.778131
3.458047,10,29.789144
-9.992905,13,29.805668
2.698658,10,29.814183
3.958507,10,29.825872
8.61541,12,29.835876
-5.278629,9,29.844883
3.84579,10,29.854405
-1.100581,13,29.865911
1.547608,11,29.875684
4.480354,12,29.886685
4.859002,12,29.896694
3.920751,11,29.906208
3.404799,11,29.917047
0.720652,11,29.928607
-6.076585,11,29.943916
-163.4651,110,30.026599
3.998589,10,30.038607
3.289564,10,30.049746
