#{"t_start": 1774803535.6618693, "env_id": "None"}
r,l,t
-4.853749,7,10.219676
-2.119934,11,10.241124
-6.906264,13,10.254975
-4.222343,9,10.26345
-0.856367,12,10.272332
11.100587,10,10.280481
-8.044851,8,10.289139
4.435159,10,10.297169
-4.40958,9,10.304997
-5.64146,8,10.311021
3.677622,9,10.321877
17.493067,7,10.327886
2.957385,7,10.332896
34.225367,10,10.343609
-3.511619,12,10.355988
2.093784,11,10.366142
-2.919565,12,10.382162
7.046453,12,10.393063
-5.856643,10,10.402358
1.156042,9,10.413363
-3.809682,6,10.420244
-2.272759,11,11.650389
-3.007343,10,11.659412
-0.864489,10,11.672462
-7.328746,10,11.694933
11.245972,11,11.708965
-2.453699,10,11.738898
-4.229609,12,11.75459
16.006756,10,11.774498
4.679628,9,11.778849
-2.118327,7,11.789058
13.347076,11,11.809187
-2.046455,11,11.824714
-0.943705,11,11.840393
4.22903,10,11.852148
16.102127,10,11.863217
3.709054,10,11.874403
-4.958337,13,11.887539
13.077696,9,11.897591
-8.539104,12,11.911303
14.811896,9,11.921193
-0.084693,8,11.932394
21.732306,10,11.945837
-5.371146,9,11.962429
3.553042,8,11.970448
-1.973517,9,11.98462
4.578703,8,11.99468
-2.113334,10,12.009818
0.238628,11,12.018407
-4.694531,11,12.02296
-5.816444,9,12.037901
11.288298,9,12.04751
-6.470032,7,12.055477
4.046056,10,12.058997
13.807463,8,12.074434
1.67339,10,12.082449
0.502563,9,12.094116
-4.248306,8,12.101895
1.193301,9,12.111274
17.114425,9,12.120631
4.842315,9,12.12867
6.035372,11,12.141575
24.791433,11,12.152921
16.965661,9,12.165457
5.875788,9,12.175381
-4.82104,12,12.192732
-4.843965,10,12.204493
15.549586,11,12.217032
-10.525002,10,12.228742
13.440016,9,12.236799
-4.48602,9,12.250113
6.733762,10,12.261274
4.779544,9,12.271465
-2.299646,9,12.28934
4.006879,10,12.300976
3.115585,9,12.312888
3.000045,11,12.320195
-6.345796,8,12.328641
2.334992,9,12.337167
-0.376508,10,12.352607
6.787458,10,12.3592
-10.757252,11,12.378527
-10.924279,9,12.394303
2.140915,8,12.4041
-4.819581,7,12.409198
15.753915,9,12.421165
10.939555,11,12.433123
5.087572,11,12.443866
16.815942,9,12.452515
2.178465,8,12.463426
4.270612,11,12.473465
10.562612,12,12.487183
1.550188,11,12.501889
3.738725,11,12.513639
-2.47617,9,12.521109
20.994361,11,12.532812
15.965546,11,12.544066
18.438897,10,12.554876
-1.728143,9,12.56491
6.782146,11,12.57553
3.321173,8,12.583569
13.822904,9,12.592199
-3.404611,9,12.600238
-9.397308,11,12.615503
-0.213284,9,12.623546
1.880333,10,12.632491
9.382276,11,12.641634
16.895872,11,12.65714
2.211281,9,12.665298
5.332006,10,12.669314
-6.388814,10,12.67946
18.975022,12,12.700157
13.999483,11,12.709148
2.44785,7,12.730627
3.165513,9,12.74805
-6.990333,12,12.770262
5.359596,9,12.778941
30.493533,11,12.796013
-0.038423,7,12.805313
3.111625,9,12.809234
-4.058437,12,12.828566
7.587918,13,12.843634
3.085292,9,12.853036
16.960754,8,12.861372
-2.289124,8,12.869024
11.441844,10,12.878601
21.64338,11,12.889759
4.854306,12,12.900927
12.922022,11,12.909127
-2.761821,9,12.921175
-0.663341,10,12.929734
0.658468,11,12.941754
-1.285766,13,12.955977
