deliveries_completed,fuel_used,steps_taken,reward
1,18.41236099616327,14,-0.6662015261881393
0,19.684888496592798,11,-4.227151136568386
1,19.015390466572363,12,0.40956350427074284
1,19.991843342664794,11,0.5258502391617093
0,19.403163251207676,11,-4.198978612029873
1,18.785159063072726,11,1.7770353691567173
1,18.225239396643282,10,1.2830273357996624
0,19.858454356221223,11,-3.8302941601581324
1,17.409710787283327,13,-3.6159365053001418
0,19.24740839845511,12,-10.961830251500805
1,18.78222226911916,11,1.3828803240160639
0,18.146125593208623,10,-9.209061283856872
1,19.224754451626126,13,2.4386271057653666
1,19.085439612437735,13,2.452558589684207
0,19.870000611554303,15,-5.631448785691441
1,18.755055828211432,12,1.02138340573374
0,17.732915145234124,13,-4.017740239059423
0,18.552984038438293,12,-4.3858151058796295
0,19.62366448070471,14,-5.656815172606481
1,19.21622069617785,11,1.0110533565640036
0,17.862116818173128,11,-8.792938066521701
0,19.552442591369054,10,-4.349692983672916
2,36.36094052538792,26,-2.9534186263569966
0,19.867907765646923,12,-6.1954530634737965
1,19.112878120186075,12,-1.2624629212590044
0,19.356199366558744,16,-15.502204616191463
0,19.780573189760958,12,-3.772506043512106
0,19.582432000238125,10,-6.588759902059612
0,17.39377167103402,13,-10.0893771671034
1,18.276680618288722,13,3.61922092672601
0,18.650374369772106,13,-3.60948616151322
0,19.741485601689217,12,-6.682810847078026
1,19.373162025593743,12,1.2682350729046163
1,18.378024209341337,15,-5.8766998700061555
0,19.116981767178185,11,-4.670360463626923
0,17.844690970035007,9,-6.464985799039301
0,19.32852895727311,15,-8.491515182636416
1,19.901382166752022,14,-0.24131332591560373
0,18.370274708771014,11,-6.1814761954131106
0,19.21929614298391,10,-4.316378338834402
1,18.632584021438042,13,-0.5021558512158251
1,17.702098013445912,11,3.5766791872102957
1,19.527897846661507,13,3.4083127662618278
1,17.84240804777304,11,-0.2592062313491148
0,18.596905520036785,11,-5.2041392765396886
2,19.037350047948195,11,9.357367546133158
1,17.743432172354602,12,3.300691356192729
1,19.398030538009486,14,0.47129949712703123
1,18.636378388577356,12,0.5332511496971488
1,18.946253286352796,15,3.566477222292697
0,18.280868727765075,10,-7.136749159685613
